title,startDate,endDate,location,contentPath
2017 IPACES Annual Meeting,2017-06-30,2017-07-02,"Southern University of Science and Technology, Shenzhen, China",2017-06-30-annual-meeting.md
2017 Spaceborne Earth Observations and Global Change Workshop & Summer School,2017-07-10,2017-07-14,"Southern University of Science and Technology, Shenzhen, China",2017-07-10-summer-school.md
2018 IPACES Annual Meeting,2018-06-23,2018-06-26,"China University of Petroleum, Qingdao, China",2018-06-23-annual-meeting.md
2019 IPACES Annual Meeting,2019-05-30,2019-05-31,"Changchun, Jilin, China",2019-05-30-annual-meeting.md
9th World Chinese Conference of Geological Science,2019-06-01,2019-06-02,"Changchun, Jilin, China",2019-06-01-wccgs.md
2021 IPACES Annual Meeting,2021-06-21,2021-06-23,"Virtual Meeting",2021-06-21-annual-meeting.md
IPACES Seminar: Probing earthquake triggering and source processes through multiscale analyses of induced seismicity,2022-03-10,2022-03-10,"Dr. Xiaowei Chen, University of Oklahoma",2022-03-10-seminar.md
IPACES Seminar: Understanding vegetation water stress across multiple spatial scales,2022-04-14,2022-04-14,"Dr. Lixin Wang, Indiana University-Purdue University Indianapolis",2022-04-14-seminar.md
IPACES Seminar: Geochemical Adventures at Earth's Surface,2022-05-12,2022-05-12,"Dr. Xiaoming Liu, University of North Carolina at Chapel Hill",2022-05-12-seminar.md
2022 IPACES Annual Meeting,2022-06-20,2022-06-23,"Southern University of Science and Technology, Shenzhen, China",2022-06-20-annual-meeting.md
IPACES Seminar: Plate Tectonics on Mars Hindered by Buoyant Martian Eclogite,2023-04-29,2023-04-29,"Dr. Jin Zhang, Texas A&M University",2023-04-29-seminar.md
2023 IPACES Annual Meeting,2023-07-02,2023-07-05,"University of Science and Technology, Hefei, China",2023-07-02-annual-meeting.md
In Memoriam: Prof. An Yin,2023-09-06,2023-09-06,,2023-09-06-an-yin.md
